"","manufact","model","sales","resale","type","price","engine_s","horsepow","wheelbas","width","length","curb_wgt","fuel_cap","mpg","lnsales","zresale","ztype","zprice","zengine_","zhorsepo","zwheelba","zwidth","zlength","zcurb_wg","zfuel_ca","zmpg"
"1","Acura","Integra",16.919,16.36,0,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2.82843725077666,-0.149560618221778,-0.592618775401597,-0.410458276899195,-1.20700124170757,-0.810378446772619,-0.822788922602886,-1.11533688195974,-1.11255681328355,-1.17212353798345,-1.22222718856641,0.970526586218014
"2","Acura","TL",39.384,19.875,0,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,3.6733596424559,0.157335576784713,-0.592618775401597,0.0703225717610769,0.133156720615428,0.68873123573365,0.0801984308736042,-0.246243207705392,0.413677181603547,0.220418450896136,-0.193399769619371,0.270037158265005
"3","Acura","CL",14.114,18.225,0,NA,3.2,225,106.9,70.6,192,3.47,17.2,26,2.64716721257864,0.013273351532733,-0.592618775401597,NA,0.133156720615428,0.68873123573365,-0.0768428479918711,-0.159333840279958,0.346671786706065,0.145874631445863,-0.193399769619371,0.503533634249341
"4","Acura","RL",8.588,29.725,0,42,3.5,210,114.6,71.4,196.6,3.85,18,22,2.15036588001653,1.01734340631926,-0.592618775401597,1.01794859230886,0.420333426827499,0.424182468232544,0.930838691394937,0.072424472854537,0.689143805070974,0.748569341894885,0.0123657141700376,-0.430452269688004
"5","Audi","A4",20.397,22.255,0,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,3.01538783121243,0.365134422905751,-0.592618775401597,-0.236959101078314,-1.20700124170757,-0.634012601771881,-0.639574097259831,-0.854608779683432,-0.695634356143661,-0.60273564048029,-0.39916525340878,0.737030110233678
"6","Audi","A6",18.78,23.555,0,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,2.93279247378012,0.478637994316402,-0.592618775401597,0.457037602205209,-0.249745554334002,0.247816623231806,0.158719070306344,1.43400456251967,0.346671786706065,0.290204154211286,0.140969141538418,-0.430452269688004
"7","Audi","A8",1.38,39,0,62,4.2,310,113,74,198.2,3.902,23.7,21,0.322083499169113,1.82714773311448,-0.592618775401597,2.41151626958501,1.090412407989,2.18784091823992,0.721450319574302,0.825638990541634,0.808264507110942,0.831043354903699,1.47844478616957,-0.663948745672341
"8","BMW","323i",19.747,NA,0,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26.1,2.98300158107517,NA,-0.592618775401597,-0.0279239494868916,-0.536922260546073,-0.281280911770406,-0.0244957550367133,-0.796669201399808,-0.844535233693622,-0.315662633661152,-0.347723882461427,0.526883281847775
"9","BMW","328i",9.231,28.675,0,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,2.22256738500801,0.925667444795274,-0.592618775401597,0.418714491080114,-0.249745554334002,0.12436053173129,-0.0244957550367133,-0.767699412257998,-0.844535233693622,-0.287113936850408,-0.347723882461427,0.0365406822806684
"10","BMW","528i",17.527,36.125,0,38.9,2.8,193,111.4,70.9,188,3.472,18.5,24.8,2.86374254909104,1.57613021941785,-0.592618775401597,0.801945602331055,-0.249745554334002,0.12436053173129,0.512061947753667,-0.0724244728545205,0.0488700316061429,0.149046708869279,0.140969141538418,0.223337863068138
"11","Buick","Century",91.561,12.475,0,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,4.51700541682464,-0.488761675860531,-0.592618775401597,-0.377361044563886,0.0374311518780703,-0.193097989270037,0.197979390022713,0.449031731698086,0.540242927521013,-0.0159013171483485,-0.116237713198343,0.270037158265005
"12","Buick","Regal",39.35,13.74,0,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,3.67249597486341,-0.378313969834013,-0.592618775401597,-0.145680418216726,0.707510133039571,0.953280003234757,0.197979390022713,0.449031731698086,0.659363629560981,0.261655457400544,-0.116237713198343,-0.196955793703668
"13","Buick","Park Avenue",27.851,20.19,0,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3.32686887237139,0.184838365241909,-0.592618775401597,0.318726010235551,0.707510133039571,0.335999545732175,0.82614450548462,1.02842751453432,1.44853828057578,0.634374554651912,0.140969141538418,0.0365406822806684
"14","Buick","LeSabre",83.257,13.36,0,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,4.42193220940977,-0.411491936861742,-0.592618775401597,0.0344382040712163,0.707510133039571,0.335999545732175,0.616756133663985,0.680790044832577,0.942275296905908,0.337785315562525,-0.116237713198343,0.270037158265005
"15","Cadillac","DeVille",63.729,22.525,0,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,4.15463971800586,0.388708241583348,-0.592618775401597,0.871275594275544,1.47331468293843,1.57056046073734,1.02244610406647,0.970487936250692,1.47831845608577,0.951582296993503,0.140969141538418,-0.430452269688004
"16","Cadillac","Seville",15.943,27.1,0,44.475,4.6,275,112.2,75,201,NA,18.5,22,2.76901986142523,0.788153502509293,-0.592618775401597,1.19040259237178,1.47331468293843,1.57056046073734,0.616756133663985,1.11533688195975,1.01672573568089,NA,0.140969141538418,-0.430452269688004
"17","Cadillac","Eldorado",6.536,25.725,0,39.665,4.6,275,108,75.5,200.6,3.843,19,22,1.8773253575577,0.668101648132643,-0.592618775401597,0.855249565986868,1.47331468293843,1.57056046073734,0.0671116576348152,1.26018582766881,0.986945560170896,0.737467070912929,0.269572568906798,-0.430452269688004
"18","Cadillac","Catera",11.185,18.225,0,31.01,3,200,107.4,70.3,194.8,3.77,18,22,2.41457359494209,0.013273351532733,-0.592618775401597,0.252183153645615,-0.058294416859287,0.247816623231806,-0.0114089817979225,-0.246243207705392,0.555133015276011,0.621686244958249,0.0123657141700376,-0.430452269688004
"19","Cadillac","Escalade",14.785,NA,1,46.225,5.7,255,117.5,77,201.2,5.572,30,15,2.69361315330444,NA,1.67667751089232,1.31233976413345,2.52629593904936,1.21782877073586,1.31035511531984,1.69473266479598,1.03161582343588,3.47972800345598,3.09884797101117,-2.06492760157836
"20","Chevrolet","Cavalier",145.519,9.25,0,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,4.98030666227861,-0.770337843398492,-0.592618775401597,-0.984608159936968,-0.824098966758145,-1.25129305927446,-0.443272498677985,-0.941518147108865,-0.479728083696218,-1.11344010565025,-0.939299648355977,0.737030110233678
"21","Chevrolet","Malibu",135.126,11.225,0,16.535,3.1,170,107,69.4,190.4,3.051,15,25,4.90620767648703,-0.59789972529385,-0.592618775401597,-0.756411452782999,0.0374311518780703,-0.281280911770406,-0.0637560747530822,-0.506971309981693,0.227551084666096,-0.518675588759769,-0.759254850040245,0.270037158265005
